27_index,27_energy,40_index,40_energy,42_index,42_energy,53_index,53_energy,54_index,54_energy,55_index,55_energy,57_index,57_energy,66_index,66_energy,68_index,68_energy,69_index,69_energy,70_index,70_energy,80_index,80_energy,81_index,81_energy,83_index,83_energy,84_index,84_energy,95_index,95_energy,96_index,96_energy,110_index,110_energy
102,0.051557000000,155,0.188267000000,0,0.051244000000,825,0.218306000000,822,0.167440000000,347,0.174944000000,257,0.048890000000,159,0.352635000000,15,0.211466000000,1508,0.163079000000,985,0.175045000000,871,0.339104000000,359,0.386848000000,278,0.214275000000,2050,0.165571000000,1211,0.327628000000,1000,0.347800000000,2260,0.339093000000
101,0.051590000000,156,0.188921000000,2,0.051455000000,830,0.222418000000,821,0.209678000000,594,0.176503000000,256,0.049860000000,160,0.376319000000,1163,0.222749000000,1159,0.166301000000,1071,0.177962000000,890,0.344866000000,366,0.408821000000,261,0.222972000000,2258,0.166933000000,1196,0.380013000000,998,0.388485000000,2275,0.348914000000
,,157,0.190656000000,1,0.051814000000,839,0.255669000000,,,597,0.177318000000,255,0.049901000000,169,0.381522000000,23,0.245666000000,1507,0.174122000000,1072,0.178611000000,849,0.360680000000,607,0.414088000000,282,0.257422000000,1851,0.198204000000,1197,0.386754000000,1004,0.394251000000,1891,0.387776000000
,,154,0.230792000000,4,0.051943000000,831,0.279771000000,,,346,0.177464000000,539,0.050898000000,191,0.386172000000,30,0.250587000000,1158,0.228414000000,983,0.185971000000,860,0.368019000000,608,0.419719000000,549,0.318407000000,2048,0.202289000000,1206,0.388733000000,1001,0.396294000000,1867,0.397181000000
,,158,0.246362000000,3,0.052969000000,828,0.285390000000,,,344,0.190041000000,258,0.051003000000,170,0.392897000000,13,0.257444000000,1160,0.253861000000,984,0.219359000000,859,0.411489000000,363,0.434726000000,279,0.335812000000,2257,0.208651000000,1198,0.391197000000,1003,0.423355000000,2276,0.404778000000
,,,,,,824,0.307367000000,,,348,0.238642000000,540,0.052746000000,176,0.402913000000,14,0.305245000000,,,982,0.223419000000,,,351,0.464438000000,550,0.342174000000,1853,0.218543000000,,,,,2268,0.468982000000
,,,,,,,,,,,,541,0.054119000000,174,0.405801000000,24,0.307321000000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
