Reactants,Products,dE (kcal/mol),K,k2
2 + 33,18 + 18,-8.7,2385058.847413558,561.8310011315416
70 + 1,18 + 18,-15.0,99012061232.33348,0.013533704715586794
60 + 3,18 + 74,-8.7,2385058.847413558,561.8310011315416
18 + 74,6 + 54,-1.5,12.576761063970512,106545715.00438118
33 + 19,18 + 74,-13.0,3385293714.3225007,0.3958297604520187
60 + 105,18 + 19,-23.0,7.245278590823886e+16,1.849480296999351e-08
18 + 19,2 + 74,-4.3,1419.3753407777042,944077.2722356773
18 + 19,6 + 6,-22.3,2.222915621880693e+16,6.028119046940234e-08
60 + 17,18 + 54,-2.4,57.452654099156085,23323552.60189247
3 + 70,18 + 54,-9.3,6566389.23965735,204.06953518794515
18 + 54,6 + 33,-7.8,522104.9526390789,2566.5337844943147
2 + 1,18 + THF,-12.6,1723367924.1597984,0.777547255704725
19 + 54,3 + 43,-14.0,18308055837.03337,0.07319182396688238
19 + 54,6 + 74,-20.8,1767478614385720.8,7.581421291853712e-07
19 + THF,3,-3.5,367.8413578419695,3642874.7649841085
54 + 54,60 + 43,-6.8,96541.03254429017,13880.108433533147
70 + 106,54 + 54,-2.3,48.52946559837905,27612090.58203101
54 + THF,6 + 1,-3.8,610.34349339299,2195485.025244951
60,54 + THF,-3.7,515.5487423555724,2599172.279768275
2 + 105,17,-31.0,5.301784571020369e+22,2.5274508649869696e-14
17,6 + THF,-11.0,115745631.2856662,11.577110817191976
2 + 1,13,-1.1,6.402512879685622,209292823.79917634
13,18 + THF,-11.6,318663360.71151704,4.205064545255611
105 + THF,0,-11.5,269170551.710693,4.978256319213717
33,60 + THF,-0.9,4.568159783502966,293334748.23694944
43,74 + THF,-0.3,1.6592573955623648,807590192.807813
2 + 0,18,-18.2,21950018811933.586,6.104778367075845e-05
6 + 0,54,-1.8,20.868083807613868,64212891.43524963
