S6,S17,S3,S1,S54,S18,S0,S60,S43,S105,S2,S19,S33,S74,S13,THF,S70,S106
0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,999.9999999999999,0.9999999999999999,0.9999999999999999
18.481504247497096,0.0001604511548726117,3.160746708764652e-07,0.00012071440158962552,3.64017426649563e-09,0.017969405726137144,9.424479080281598e-12,7.085791617080085e-09,0.00017308257725639378,3.490003425255613e-23,8.547116767249356e-05,8.551354521632944e-13,1.5594382291214325e-06,2.857703992616e-07,6.647349574245548e-08,1004.9637797503399,2.666401413503292e-11,8.316839244659002e-09
18.481504247496765,0.00016045115487260878,3.1607467087645977e-07,0.0001207144015896244,3.640174266495533e-09,0.017969405726136797,9.424479080281517e-12,7.085791617079893e-09,0.00017308257725638922,3.490003425255585e-23,8.547116767249271e-05,8.551354521632803e-13,1.5594382291213893e-06,2.8577039926159275e-07,6.647349574245417e-08,1004.9637797503392,2.6664014135032164e-11,8.316839244658797e-09
18.481504247496552,0.00016045115487260686,3.160746708764561e-07,0.00012071440158962368,3.640174266495469e-09,0.017969405726136575,9.424479080281462e-12,7.085791617079767e-09,0.00017308257725638624,3.490003425255567e-23,8.547116767249214e-05,8.551354521632709e-13,1.5594382291213607e-06,2.8577039926158793e-07,6.647349574245332e-08,1004.963779750339,2.666401413503167e-11,8.31683924465866e-09
18.481504247496343,0.000160451154872605,3.160746708764526e-07,0.00012071440158962296,3.640174266495407e-09,0.017969405726136364,9.42447908028141e-12,7.0857916170796454e-09,0.00017308257725638334,3.490003425255548e-23,8.547116767249161e-05,8.551354521632618e-13,1.5594382291213334e-06,2.857703992615832e-07,6.64734957424525e-08,1004.9637797503386,2.6664014135031195e-11,8.316839244658528e-09
18.481504247496133,0.0001604511548726031,3.160746708764492e-07,0.00012071440158962224,3.640174266495346e-09,0.01796940572613615,9.424479080281359e-12,7.085791617079523e-09,0.00017308257725638047,3.49000342525553e-23,8.547116767249108e-05,8.551354521632526e-13,1.559438229121306e-06,2.8577039926157856e-07,6.647349574245167e-08,1004.9637797503383,2.6664014135030716e-11,8.316839244658392e-09
18.481504247495923,0.00016045115487260125,3.160746708764457e-07,0.00012071440158962154,3.640174266495284e-09,0.01796940572613593,9.424479080281306e-12,7.0857916170794014e-09,0.00017308257725637757,3.4900034252555115e-23,8.547116767249055e-05,8.551354521632434e-13,1.5594382291212787e-06,2.857703992615739e-07,6.647349574245085e-08,1004.963779750338,2.666401413503024e-11,8.31683924465826e-09
18.48150424749571,0.00016045115487259938,3.160746708764422e-07,0.00012071440158962083,3.640174266495223e-09,0.017969405726135715,9.424479080281254e-12,7.085791617079279e-09,0.0001730825772563747,3.490003425255493e-23,8.547116767249002e-05,8.551354521632343e-13,1.5594382291212512e-06,2.857703992615692e-07,6.647349574245001e-08,1004.9637797503376,2.666401413502976e-11,8.316839244658126e-09
18.4815042474955,0.00016045115487259748,3.160746708764387e-07,0.00012071440158962012,3.6401742664951614e-09,0.0179694057261355,9.424479080281202e-12,7.0857916170791566e-09,0.00017308257725637182,3.490003425255475e-23,8.547116767248951e-05,8.551354521632252e-13,1.5594382291212239e-06,2.8577039926156453e-07,6.647349574244919e-08,1004.9637797503373,2.6664014135029282e-11,8.316839244657992e-09
18.481504247495295,0.0001604511548725956,3.1607467087643526e-07,0.00012071440158961941,3.6401742664951e-09,0.017969405726135285,9.424479080281149e-12,7.085791617079035e-09,0.00017308257725636892,3.490003425255457e-23,8.547116767248897e-05,8.55135452163216e-13,1.5594382291211966e-06,2.8577039926155987e-07,6.647349574244837e-08,1004.9637797503369,2.6664014135028807e-11,8.316839244657858e-09
18.481504247495085,0.00016045115487259374,3.1607467087643176e-07,0.00012071440158961869,3.640174266495038e-09,0.017969405726135066,9.424479080281097e-12,7.0857916170789126e-09,0.00017308257725636605,3.490003425255438e-23,8.547116767248844e-05,8.551354521632069e-13,1.559438229121169e-06,2.8577039926155516e-07,6.647349574244754e-08,1004.9637797503366,2.666401413502833e-11,8.316839244657725e-09
18.481504247494872,0.00016045115487259187,3.1607467087642827e-07,0.00012071440158961799,3.640174266494977e-09,0.017969405726134854,9.424479080281044e-12,7.085791617078791e-09,0.00017308257725636315,3.49000342525542e-23,8.547116767248791e-05,8.551354521631978e-13,1.5594382291211417e-06,2.857703992615505e-07,6.64734957424467e-08,1004.9637797503361,2.6664014135027854e-11,8.316839244657591e-09
18.481504247494662,0.00016045115487258997,3.160746708764248e-07,0.00012071440158961727,3.6401742664949153e-09,0.01796940572613464,9.42447908028099e-12,7.0857916170786685e-09,0.00017308257725636025,3.490003425255401e-23,8.547116767248738e-05,8.551354521631885e-13,1.5594382291211142e-06,2.8577039926154584e-07,6.647349574244588e-08,1004.9637797503358,2.6664014135027375e-11,8.316839244657457e-09
18.48150424749445,0.00016045115487258813,3.1607467087642133e-07,0.00012071440158961658,3.6401742664948532e-09,0.01796940572613442,9.424479080280939e-12,7.085791617078547e-09,0.00017308257725635737,3.490003425255383e-23,8.547116767248685e-05,8.551354521631794e-13,1.559438229121087e-06,2.8577039926154113e-07,6.647349574244505e-08,1004.9637797503353,2.66640141350269e-11,8.316839244657325e-09
18.481504247494232,0.0001604511548725861,3.160746708764178e-07,0.00012071440158961578,3.640174266494789e-09,0.017969405726134178,9.424479080280884e-12,7.0857916170784154e-09,0.00017308257725635442,3.490003425255365e-23,8.547116767248623e-05,8.551354521631706e-13,1.559438229121057e-06,2.857703992615365e-07,6.647349574244411e-08,1004.9637797503347,2.6664014135026364e-11,8.316839244657196e-09
18.481504247494012,0.0001604511548725841,3.160746708764143e-07,0.00012071440158961498,3.6401742664947246e-09,0.01796940572613394,9.424479080280829e-12,7.085791617078285e-09,0.00017308257725635146,3.490003425255347e-23,8.547116767248559e-05,8.551354521631616e-13,1.5594382291210272e-06,2.8577039926153187e-07,6.647349574244316e-08,1004.9637797503339,2.666401413502583e-11,8.316839244657065e-09
