85_energy,85_index,114_energy,114_index,128_energy,128_index,142_energy,142_index,143_energy,143_index,157_energy,157_index,171_energy,171_index
524.6768692319381,0.0,1173.7555244850207,1.0,1166.4117262682428,2.0,10175.918052683486,3.0,7922.2357754412815,4.0,27255.392929401514,5.0,8283.11216463473,6
,,,,,,,,,,354450098.2633808,8.0,28339.174327693345,10
,,,,,,,,,,,,179666689.84046623,7
,,,,,,,,,,,,323557824.4989506,9
,,,,,,,,,,,,354455483.6540536,11
