42_energy,42_index,68_energy,68_index,0_energy,0_index,27_energy,27_index,40_energy,40_index,66_energy,66_index,57_energy,57_index,83_energy,83_index,55_energy,55_index,81_energy,81_index,54_energy,54_index,53_energy,53_index,80_energy,80_index,70_energy,70_index,96_energy,96_index,69_energy,69_index,95_energy,95_index,84_energy,84_index,110_energy,110_index
58.39083373879655,1.0,115.22487094093697,23.0,999999999.0,56.0,45.280261421125786,102.0,77.13654561454915,154.0,137.60149486872993,170.0,77.33417434305984,539.0,144.98512066508127,278.0,87.40426219868976,346.0,150.8419521698258,359.0,67.30393448724972,821.0,96.7467156566071,825.0,131.11012383620724,860.0,124.39719094348966,984.0,187.06612756883592,998.0,106.5963557498554,1160.0,140.9297398467404,1197.0,117.88866064586873,2258.0,155.67704588601754,1891
59.99331735039662,2.0,117.34419257059876,24.0,999999999.0,75.0,48.268581162424624,101.0,83.80169028463541,155.0,143.06597626854645,160.0,89.63178003855599,540.0,146.84596235110027,549.0,98.6277280985076,344.0,155.42545379137522,607.0,87.1164236258642,822.0,100.00504137254644,831.0,131.4564752182641,871.0,126.87708730403344,983.0,189.47860739434324,1000.0,107.2050217408134,1159.0,141.03026599799665,1196.0,129.43945313784891,1853.0,162.72675531165262,2275
67.2357473621715,0.0,117.55406237795016,1163.0,999999999.0,93.0,,,86.40203362399976,156.0,145.66987626796745,176.0,94.40800893561132,256.0,150.81885401531486,550.0,131.01960159140924,348.0,155.4961492346574,363.0,,,100.4514434364084,830.0,135.17553219196904,864.0,138.29979027845107,982.0,192.2196308372376,1085.0,141.01823785413055,1507.0,144.8095922396731,1211.0,145.73321218319458,1851.0,165.371366840898,2260
80.75071124316679,4.0,123.36811858426438,15.0,999999999.0,136.0,,,112.5606223115812,157.0,147.84067409303043,159.0,95.96555975398796,257.0,155.23457247445495,282.0,133.07589735675825,347.0,160.6859051309765,608.0,,,108.93355458002944,828.0,135.62003243438224,859.0,141.2597781129839,985.0,192.40276362151667,1001.0,145.1217169342704,1158.0,148.92078008282564,1198.0,147.08091240186536,2257.0,165.53337464880397,1867
87.37951637933637,3.0,123.87003472744333,13.0,999999999.0,142.0,,,121.51541794905164,158.0,150.47713077054075,169.0,106.2051137340576,255.0,156.30431534882248,279.0,134.32144205603768,594.0,160.81229229964467,366.0,,,111.9662170282816,824.0,137.36883798116276,849.0,143.37846991533763,1071.0,193.0415009897268,1003.0,157.020367502645,1508.0,149.48754463749097,1206.0,161.61773937020988,2050.0,169.71586399997105,2268
,,123.88994504356174,14.0,999999999.0,146.0,,,,,153.0999913961038,191.0,109.82709798400036,258.0,158.73301611010905,261.0,141.58777427240068,597.0,164.1104234818999,351.0,,,112.03509138499837,839.0,143.30755052644295,890.0,158.52141685894955,1072.0,195.73840140776048,1004.0,,,149.79063164697234,1216.0,176.57199457203546,2048.0,171.77226579775294,2276
,,125.58220511625998,30.0,999999999.0,153.0,,,,,153.36047154443463,174.0,112.13646248371415,541.0,160.51992386562955,266.0,142.8924769418024,593.0,168.96409083868468,360.0,,,118.00952605033302,841.0,144.25913891542407,848.0,169.1607928730977,1070.0,202.5161575854469,992.0,,,154.53815704738662,1183.0,188.2553084485908,1852.0,174.0883172934776,1909
,,129.25131471978696,31.0,999999999.0,209.0,,,,,153.66503025806986,161.0,113.78904075630646,259.0,161.24240869005183,565.0,152.60444615606252,595.0,171.40764004852136,349.0,,,118.81934915360593,838.0,146.8268738518206,869.0,171.13327299346227,1073.0,202.84217831141612,1014.0,,,164.84796653012,1182.0,192.3455517799605,2049.0,176.20401041346693,1872
,,129.99634662714342,27.0,999999999.0,230.0,,,,,154.7953883334865,173.0,,,161.46499430527504,267.0,161.4728415259222,596.0,174.18026633381132,370.0,,,125.58248181190837,843.0,146.8342282930814,896.0,172.2671471045248,1461.0,208.6459840931544,1292.0,,,166.25784155921994,1793.0,,,179.69129997940632,1908
,,130.0062533840046,16.0,999999999.0,231.0,,,,,157.6810377632447,171.0,,,162.5933928314944,1854.0,222.07975943454957,345.0,174.38730413574785,630.0,,,128.06693037134968,823.0,147.15790460851912,892.0,172.56908763769906,1459.0,210.79362246318456,1464.0,,,168.80855609661762,1164.0,,,180.5737670437807,2269
