S366102011,S3133022081,S311101673,S3311102026,S133011704,S66091638,S3366032367,Et2O,S33133092397,S11011295
0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
1.0452672571232369,1.314631848712249,2.2505793480254175e-06,3.0233082809331696e-12,2.6177689239214246e-12,1.7675118305341814e-09,4.3693135171781506e-39,26.245764975031253,1.2492787996908683e-14,6.640098641940192
0.770117270028605,1.0567728897746476,1.516408537045221e-06,2.2684269130299817e-12,1.6621147207618957e-12,2.0784564935277104e-09,2.0675839534921437e-39,28.635661920765962,6.270521175058757e-15,7.173108321942602
0.6361751813011731,0.9114576273343782,1.1984621489367659e-06,1.9307047368805194e-12,1.2758687773875656e-12,2.2529076824210983e-09,1.32417958131615e-39,29.89800754168073,4.116401743777072e-15,7.452365990906626
0.5534212848918016,0.8145265508654247,1.0141822191504559e-06,1.7216520759189864e-12,1.0606011285207852e-12,2.369334954237292e-09,9.659882098395913e-40,30.71367906246063,3.0407408494519488e-15,7.6320511479624775
0.4962832820515801,0.744225528052058,8.921895582139347e-07,1.5746414823016461e-12,9.218096586109777e-13,2.453889897372345e-09,7.588022311433979e-40,31.29373655384891,2.4045370510754962e-15,7.759490295536375
0.4541708939443304,0.6905778985193392,8.049611230847066e-07,1.4640246175500211e-12,8.244695861647326e-13,2.5185067979779053e-09,6.254743402941868e-40,31.73042451562266,1.988872860736526e-15,7.855250400350795
0.4217653783604061,0.6482061998973256,7.393654367836918e-07,1.3772289874548189e-12,7.52349559716762e-13,2.569609568728483e-09,5.334283017273787e-40,32.07190526784806,1.6987762034207293e-15,7.9300276801100935
0.3960555580721611,0.613900151992586,6.882565961141876e-07,1.307153550677826e-12,6.968160713742793e-13,2.6110334088355993e-09,4.666277093956183e-40,32.34627494184519,1.486557142006743e-15,7.9900435993774845
0.3751880783798468,0.5855997649282837,6.473760321706833e-07,1.2494033929830697e-12,6.528217579541458e-13,2.645240921890504e-09,4.16330962433084e-40,32.571246918603244,1.325769654506212e-15,8.039211506993706
0.35795105468062566,0.5619103253869256,6.140111126728095e-07,1.2010555766015657e-12,6.171994014527916e-13,2.6739010752014424e-09,3.773410242641016e-40,32.75864231124767,1.2005499367489028e-15,8.080138003591209
0.3435122671975134,0.5418464617856199,5.863419014614973e-07,1.1600804272058583e-12,5.878546661456768e-13,2.6981942477217397e-09,3.464206268935858e-40,32.916716862210144,1.1008803954397641e-15,8.114640682333768
0.3312805240858831,0.5246908929658156,5.631002998354969e-07,1.125011832157161e-12,5.633450184415797e-13,2.7189806240938185e-09,3.2144176732370276e-40,33.05142174844744,1.0201284673234693e-15,8.144028017482036
0.32082205580567236,0.5099061385074769,5.433716556582898e-07,1.0947572213552577e-12,5.426408234629051e-13,2.736905472202512e-09,3.0095210768741506e-40,33.167179453021944,9.537355441999635e-16,8.169271259929795
0.31181002540711744,0.49707958897525917,5.264772621834416e-07,1.0684805436538383e-12,5.249852220961425e-13,2.7524646840445716e-09,2.8392780071076346e-40,33.26736037293234,8.984688371431148e-16,8.191109856736205
0.3039935838451485,0.4858895239464381,5.119031454146296e-07,1.0455317430063051e-12,5.098099215148896e-13,2.7660452922579205e-09,2.6963040151746753e-40,33.35457650802103,8.519818636236766e-16,8.21011637788444
0.2971762548330633,0.4760796329181047,4.992519460356412e-07,1.0253910244765442e-12,4.966787701510207e-13,2.7779559972097984e-09,2.5750991020253873e-40,33.43089531698831,8.125294161990778e-16,8.226743610524721
0.29120227339157795,0.4674451471811975,4.882113303680523e-07,1.00764615574822e-12,4.852512831507921e-13,2.7884435560842677e-09,2.471547014999371e-40,33.49796370464312,7.787872479623853e-16,8.241352088754377
0.28594526760714806,0.45981719053002346,4.78531016666491e-07,9.91955025457331e-13,4.752564420150985e-13,2.7977117148636986e-09,2.3824579305802633e-40,33.557131540105495,7.497340318321916e-16,8.254237060869343
0.2813026645885649,0.45305754082499655,4.7000940341535586e-07,9.7803786724097e-13,4.664770751894309e-13,2.805927342654996e-09,2.3053491598371887e-40,33.60950022629268,7.245708862286382e-16,8.265639322113412
0.27718976981096144,0.4470508922783045,4.62481494515488e-07,9.656610170231487e-13,4.58736447931621e-13,2.8132297551091614e-09,2.2382603171868797e-40,33.65598507078473,7.026653844094584e-16,8.275758872975791
0.27353592751789435,0.4417002503186386,4.5581062994811183e-07,9.546276672450333e-13,4.518888523075457e-13,2.8197362228593613e-09,2.179615336528997e-40,33.697353669797295,6.835081288192004e-16,8.284763363901737
0.2702819366367705,0.43692367432705076,4.498831265866709e-07,9.447713288028693e-13,4.4581364247596695e-13,2.8255458827008476e-09,2.128142883399179e-40,33.73425253105599,6.666874302966584e-16,8.292793936696295
0.26737812525719434,0.43265201240155965,4.4460408749242716e-07,9.359513473079767e-13,4.4041044457285734e-13,2.830742439368108e-09,2.0828052063546595e-40,33.76722610203965,6.518668114576265e-16,8.299969415277237
0.26478187678293635,0.4288254904180002,4.398926291151828e-07,9.28045948346066e-13,4.3559407303822273e-13,2.8353982928310054e-09,2.0427433301380603e-40,33.796743719994886,6.387673444454459e-16,8.306392190444752
0.2624566109522582,0.4253924678819705,4.356797247080381e-07,9.209497826615036e-13,4.31292105741263e-13,2.8395760260730226e-09,2.0072434522763376e-40,33.82320990863799,6.271569164146332e-16,8.312150483021586
0.2603709126645142,0.42230844299005293,4.3190627275574205e-07,9.145719737275362e-13,4.2744265504715546e-13,2.843329587930053e-09,1.975702589234924e-40,33.8469728375715,6.168394056609675e-16,8.317320209972246
0.2584975693197183,0.4195347348053623,4.285212154183314e-07,9.08833376220474e-13,4.239923399607833e-13,2.846705889219312e-09,1.9476049510805958e-40,33.86833476202992,6.076472495164056e-16,8.321967264883643
0.2568132442076741,0.41703714443219136,4.2548212053482373e-07,9.036641190236693e-13,4.208978071591998e-13,2.849746484616627e-09,1.9225968730428783e-40,33.88756002338755,5.994624994608106e-16,8.326149183392095
0.25529654991100176,0.4147867700526566,4.227468460842862e-07,8.990047370559685e-13,4.1811347697983166e-13,2.8524863198553498e-09,1.9001382915531027e-40,33.9048786806521,5.921148724462859e-16,8.329916254804374
0.25393032284015976,0.4127565462348075,4.202865979635921e-07,8.947996355848832e-13,4.156117303501701e-13,2.8549584430825526e-09,1.880120043501279e-40,33.92049471539901,5.855626135133296e-16,8.33331270815131
0.25269780956003535,0.4109242610162744,4.1806797183460844e-07,8.910038386852594e-13,4.1335625135065515e-13,2.857189649889294e-09,1.862104695146109e-40,33.93458620121226,5.796663375238185e-16,8.336377508854259
0.25158574451797605,0.4092688160183758,4.160686585214652e-07,8.875727031809578e-13,4.1132544373832407e-13,2.8592057683003267e-09,1.8459852673099325e-40,33.94731169239971,5.743903188949569e-16,8.339145020898211
0.25058108022968556,0.40777278782111703,4.142630513182933e-07,8.844720687795648e-13,4.0949187854219113e-13,2.8610277777194656e-09,1.8314626241978325e-40,33.958810495991386,5.696356912127633e-16,8.3416457151963
0.249673223559767,0.40641977835139076,4.1263264169764265e-07,8.816666975539329e-13,4.0783702656607404e-13,2.8626757558814127e-09,1.8184012047094865e-40,33.96920697491649,5.653601252077398e-16,8.343906582967104
0.24885228407207363,0.40519560149292866,4.1115915043085773e-07,8.791280771916864e-13,4.063420341349029e-13,2.8641668886435533e-09,1.8066370896256117e-40,33.97861162158032,5.615087713123232e-16,8.34595170078579
0.2481095614304917,0.40408745425159404,4.098267332827766e-07,8.768296215848287e-13,4.04990649265272e-13,2.8655167614899916e-09,1.7960311812021758e-40,33.9871232523513,5.5803649234912565e-16,8.34780257200024
0.24743727896116707,0.4030839123662895,4.08621241823062e-07,8.747477860667601e-13,4.0376838700755347e-13,2.866739268138046e-09,1.7864618257926303e-40,33.99483009527464,5.549034620200221e-16,8.349478397560121
0.24682848526147194,0.4021747381714404,4.075300521934363e-07,8.728614247430906e-13,4.0266233611910584e-13,2.8678468642834248e-09,1.777821280017801e-40,34.001811144323,5.5207444572628e-16,8.350996366545399
0.24627691864896367,0.4013506968670818,4.06541809008626e-07,8.711514597348635e-13,4.0166089431632487e-13,2.868850786568963e-09,1.7700134176257787e-40,34.00813762026034,5.495179975763258e-16,8.352371975449882
0.2457770033446071,0.40060354753367716,4.0564642090909544e-07,8.696008540473118e-13,4.0075376479028776e-13,2.8697610643948693e-09,1.7629537580004583e-40,34.013873030844195,5.472064754830569e-16,8.353619040985013
0.24532380176706856,0.3999259907506328,4.048349535683739e-07,8.681945158736362e-13,3.9993183269769117e-13,2.8705865815346986e-09,1.7565676001294173e-40,34.019073623514075,5.451154366012248e-16,8.354749800158405
0.2449129058718188,0.39931149874767286,4.0409944357148695e-07,8.669189410401018e-13,3.991869825624453e-13,2.8713352839301206e-09,1.7507889536326127e-40,34.02378966934501,5.432232863861574e-16,8.355775188797514
