110_index,110_energy,125_index,125_energy,140_index,140_energy,155_index,155_energy,170_index,170_energy,185_index,185_energy,200_index,200_energy,215_index,215_energy,230_index,230_energy
lowest10_c2_a1_speciation0_speciation0_39_rank09_E166.24,0.438300000000,,,,,lowest10_c2_a1_speciation0_speciation3_45_rank05_E182.18,0.486807000000,,,,,,,,,,
lowest10_c2_a1_speciation0_speciation0_39_rank04_E166.11,0.438425000000,,,,,lowest10_c2_a1_speciation0_speciation3_39_rank02_E202.68,0.488758000000,,,,,,,,,,
lowest10_c2_a1_speciation0_speciation0_39_rank03_E166.10,0.439778000000,,,,,lowest10_c2_a1_speciation0_speciation3_45_rank09_E182.70,0.496977000000,,,,,,,,,,
lowest10_c2_a1_speciation0_speciation0_39_rank05_E166.15,0.440589000000,,,,,lowest10_c2_a1_speciation0_speciation3_45_rank04_E182.13,0.498629000000,,,,,,,,,,
lowest10_c2_a1_speciation0_speciation0_45_rank03_E144.82,0.501424000000,,,,,lowest10_c2_a1_speciation0_speciation3_45_rank08_E182.61,0.506966000000,,,,,,,,,,
lowest10_c2_a1_speciation0_speciation0_45_rank07_E145.07,0.508777000000,,,,,lowest10_c2_a1_speciation0_speciation3_45_rank03_E181.37,0.517286000000,,,,,,,,,,
,,,,,,lowest10_c2_a1_speciation0_speciation3_39_rank04_E203.46,0.517480000000,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
