29_index,29_energy,42_index,42_energy,55_index,55_energy,58_index,58_energy,68_index,68_energy,71_index,71_energy,84_index,84_energy,87_index,87_energy,97_index,97_energy,100_index,100_energy,110_index,110_energy,113_index,113_energy,123_index,123_energy,126_index,126_energy,139_index,139_energy,152_index,152_energy,165_index,165_energy
105,-0.045598701533,0,-0.143949662536,1,-0.239848919255,19,-0.153516284390,2,-0.331908530538,4,-0.252417545659,16,-0.348727589867,106,-0.260471371828,17,-0.441266753276,39,-0.357326537718,18,-0.524773002740,43,-0.449863678807,13,-0.612363686863,82,-0.545332807587,30,-0.637722066987,69,-0.721874420904,71,-0.787934284615
,,,,,,,,,,14,-0.250917232193,6,-0.346883844385,107,-0.260471371379,9,-0.428199624374,41,-0.357326065107,12,-0.521863420790,45,-0.449812921736,,,54,-0.530575961119,56,-0.629940638738,33,-0.711613011672,70,-0.784395081732
,,,,,,,,,,3,-0.248100821601,7,-0.342157215787,109,-0.259615152191,10,-0.428048266091,74,-0.355664163953,11,-0.519616327625,79,-0.449175627118,,,55,-0.529533847111,60,-0.620306697046,68,-0.709983651254,,
