13_index,13_energy,29_index,29_energy,42_index,42_energy,55_index,55_energy,58_index,58_energy,68_index,68_energy,71_index,71_energy,84_index,84_energy,87_index,87_energy,97_index,97_energy,100_index,100_energy,110_index,110_energy,113_index,113_energy,123_index,123_energy,126_index,126_energy,139_index,139_energy,152_index,152_energy,165_index,165_energy
THF,0.002637000000,105,0.156997000000,0,0.157140000000,1,0.158741000000,19,0.274883000000,2,0.167877000000,4,0.275782000000,16,0.279861000000,106,0.394048000000,8,0.282545000000,39,0.397288000000,18,0.274567000000,43,0.399351000000,13,0.307522000000,82,0.407430000000,30,0.416749000000,69,0.432467000000,95,0.447576000000
,,,,,,,,,,,,14,0.277017000000,6,0.281491000000,107,0.394048000000,17,0.283844000000,41,0.397319000000,12,0.298190000000,45,0.400677000000,,,54,0.420324000000,56,0.419801000000,64,0.434998000000,71,0.459815000000
,,,,,,,,,,,,3,0.279256000000,15,0.284316000000,109,0.397832000000,9,0.295015000000,73,0.397745000000,11,0.302163000000,44,0.401766000000,,,53,0.420693000000,60,0.431283000000,68,0.436235000000,37,0.462747000000
