29_index,29_energy,42_index,42_energy,55_index,55_energy,58_index,58_energy,68_index,68_energy,71_index,71_energy,84_index,84_energy,87_index,87_energy,97_index,97_energy,100_index,100_energy,110_index,110_energy,113_index,113_energy,123_index,123_energy,126_index,126_energy,139_index,139_energy,152_index,152_energy
105,-415.996588363000,0,-648.426709887000,1,-880.849192819000,19,-832.091243764000,2,-1113.255947640000,3,-1064.510639170000,6,-1296.933290750000,106,-1248.170523330000,17,-1529.330628370000,74,-1480.580940510000,18,-1761.737529480000,79,-1712.992440210000,13,-1994.131315200000,55,-1945.384034530000,60,-2177.797577950000,33,-2410.210336160000
,,,,,,,,,,14,-1064.508722960000,16,-1296.930259520000,109,-1248.161257230000,10,-1529.326326730000,41,-1480.563964120000,12,-1761.732024870000,43,-1712.990607550000,,,54,-1945.383873300000,,,,
,,,,,,,,,,4,-1064.494882490000,7,-1296.917183810000,107,-1248.133454970000,9,-1529.323763310000,39,-1480.555165610000,,,,,,,,,,,,
