51_index,51_energy,52_index,52_energy,66_index,66_energy,67_index,67_energy,78_index,78_energy,81_index,81_energy,93_index,93_energy,108_index,108_energy
158,-1121.656022750000,10,-976.416216526000,1,-1355.260822190000,53,-1210.026331160000,45,-1637.418838540000,7,-1588.846866770000,71,-1870.985984500000,114,-2104.638933310000
159,-1121.628371480000,8,-976.414935449000,4,-1355.255722880000,52,-1210.006163200000,39,-1637.384808520000,5,-1588.840283230000,66,-1870.980613260000,133,-2104.621864080000
157,-1121.612585170000,9,-976.405817720000,2,-1355.241847610000,,,11,-1637.367230260000,6,-1588.825210550000,66,-1870.979919140000,114,-2104.610933150000
