66_energy,66_index,81_energy,81_index,52_energy,52_index,78_energy,78_index,67_energy,67_index,93_energy,93_index,0_energy,0_index,108_energy,108_index,51_energy,51_index
177.0062541940467,0.0,227.5330548582729,6.0,75.96484804791521,9.0,150.7775388155637,11.0,149.1727425862759,53.0,184.6916180874974,92,999999999.0,56.0,236.53347892392733,126.0,130.00239253284465,155.0
178.78754804320394,2.0,233.2324830199907,5.0,77.44164010267123,8.0,155.29644212324249,37.0,152.8727513094099,52.0,207.28347566298692,89,999999999.0,75.0,237.39562060281665,139.0,130.11408908146103,157.0
184.53023014982764,1.0,246.68296768878812,7.0,135.05807238255034,10.0,161.18215491680053,36.0,,,210.07184149528277,95,999999999.0,93.0,248.63016144264512,124.0,131.30919619043686,156.0
220.1192522252619,4.0,,,,,169.20374239542292,17.0,,,216.66466276303143,96,999999999.0,136.0,257.76649979622766,123.0,149.81688601367617,159.0
234.9090299982506,3.0,,,,,175.70180364116368,12.0,,,217.33674767038528,71,999999999.0,142.0,262.6584473000368,118.0,159.3570803592408,158.0
,,,,,,176.2981361221884,15.0,,,220.248430010676,69,999999999.0,146.0,264.3626018678294,147.0,211.1202460259152,160.0
,,,,,,178.7619289660662,29.0,,,223.23532975838367,88,999999999.0,153.0,264.4038093529194,140.0,,
,,,,,,182.32247048320568,24.0,,,223.4214082242217,107,,,265.3080717814612,114.0,,
,,,,,,182.32975870307493,13.0,,,227.10790567257533,72,,,267.5271289431624,145.0,,
,,,,,,184.90837760725117,19.0,,,227.85916151577064,82,,,268.2165660422842,125.0,,
,,,,,,185.5865108650725,16.0,,,229.77429509723345,66,,,269.51471677208565,134.0,,
,,,,,,185.9610032796689,20.0,,,230.9593030274393,54,,,270.5185487489928,144.0,,
,,,,,,188.1626098539807,18.0,,,231.40144491079644,91,,,271.9761786169998,143.0,,
,,,,,,191.23389855850337,39.0,,,231.77552993623567,73,,,273.15155658422674,113.0,,
,,,,,,199.90100972563735,14.0,,,234.28704937293315,61,,,280.7213320121708,112.0,,
,,,,,,203.12211301969023,28.0,,,235.1843155465111,90,,,292.23570042206404,115.0,,
,,,,,,205.73198240423665,38.0,,,239.70147557886312,74,,,297.6782402152034,111.0,,
,,,,,,208.74179765075823,44.0,,,244.20982568267905,98,,,299.28212093730644,121.0,,
,,,,,,210.87844670198524,25.0,,,246.60309441715788,103,,,300.9171678147203,131.0,,
,,,,,,211.3677401563496,30.0,,,246.93968401246136,58,,,308.36156669625217,129.0,,
,,,,,,213.50152224598455,43.0,,,247.11614401840848,57,,,309.26763448174023,122.0,,
,,,,,,216.7004372225878,21.0,,,248.4583076622151,102,,,310.4797069263892,148.0,,
,,,,,,218.57757395377843,22.0,,,248.65621593000344,100,,,311.5427509207546,116.0,,
,,,,,,219.6260195804539,47.0,,,256.01363654805186,94,,,312.2855370979047,133.0,,
,,,,,,228.0413432614317,40.0,,,258.8180020217286,105,,,330.6580047375473,138.0,,
,,,,,,228.3131436155915,31.0,,,260.2172422428454,79,,,332.6226116530439,149.0,,
,,,,,,234.28926399756628,45.0,,,261.5278803316615,67,,,338.95832223240484,154.0,,
,,,,,,246.7081803484992,42.0,,,269.3362748940347,62,,,340.7765805087099,119.0,,
,,,,,,253.8570653888463,49.0,,,273.9222333333482,59,,,341.3533798731792,132.0,,
,,,,,,265.7165049897937,41.0,,,277.1321344404687,99,,,347.0779832537264,152.0,,
,,,,,,273.4672657280557,33.0,,,278.6477778791452,109,,,350.2782045565149,128.0,,
,,,,,,284.4792460976183,50.0,,,281.84033406156465,84,,,352.89374228894707,141.0,,
,,,,,,342.6645096991635,51.0,,,282.2483704775024,60,,,355.2592086223289,117.0,,
,,,,,,354.3084403455391,27.0,,,283.3125909540757,55,,,362.8619889501677,135.0,,
,,,,,,363.8913826999513,34.0,,,284.8926746600124,76,,,388.0824621416229,127.0,,
,,,,,,391.820332922968,32.0,,,286.41572579008533,68,,,406.3845382655725,130.0,,
,,,,,,438.4293898888809,46.0,,,291.52546435529564,65,,,409.18900949593615,120.0,,
,,,,,,468.8856653856855,23.0,,,292.5056579077785,83,,,472.70871164618194,137.0,,
,,,,,,482.9584921204696,48.0,,,297.68887358559766,81,,,474.92870182161937,150.0,,
,,,,,,482.98993630724834,35.0,,,299.4012197351305,63,,,491.1315674343197,151.0,,
,,,,,,657.2319706259187,26.0,,,303.1840765638422,97,,,,,,
,,,,,,,,,,305.3179117861086,70,,,,,,
,,,,,,,,,,307.2517508857342,110,,,,,,
,,,,,,,,,,321.08772995798074,64,,,,,,
,,,,,,,,,,321.9977617075204,78,,,,,,
,,,,,,,,,,377.9297794742128,101,,,,,,
,,,,,,,,,,382.35274850370007,85,,,,,,
,,,,,,,,,,416.41944868482574,104,,,,,,
,,,,,,,,,,442.43789255850265,86,,,,,,
,,,,,,,,,,443.5139192550501,87,,,,,,
,,,,,,,,,,468.7578874613235,77,,,,,,
,,,,,,,,,,495.6009318843408,106,,,,,,
,,,,,,,,,,622.7211209814805,108,,,,,,
,,,,,,,,,,763.8221405037153,80,,,,,,
